album_id,album_date_released,album_engineer,album_favorites,album_listens,album_producer,album_title,album_tracks,album_type,album_url,artist_name
1,1/05/2009,,4,6073,,AWOL - A Way Of Life,7,Album,http://freemusicarchive.org/music/AWOL/AWOL_-_A_Way_Of_Life/,AWOL
100,1/09/2009,,0,5613,,On Opaque Things,4,Album,http://freemusicarchive.org/music/Bird_Names/On_Opaque_Things/,Bird Names
1000,10/26/2008,,0,1092,,DMBQ Live at 2008 Record Fair on WFMU Record Fair's Show on 10/26/2008,4,Live Performance,http://freemusicarchive.org/music/DMBQ/DMBQ_Live_at_2008_Record_Fair_on_WFMU_Record_Fairs_Show_on_10262008/,DMBQ
10000,,,0,1001,,Live at CKUT on Montreal Sessions,1,Radio Program,http://freemusicarchive.org/music/Sundrips/Live_at_CKUT_on_Montreal_Sessions_1434/,Sundrips
10001,1/01/2006,,0,504,,Ground's Dream Cosmic Love,1,Album,http://freemusicarchive.org/music/Uton/Grounds_Dream_Cosmic_Love/,Uton
10002,,,0,2145,,Trust Now,1,Album,http://freemusicarchive.org/music/Prince_Rama_of_Ayodhya/Trust_Now/,Prince Rama
10003,9/06/2011,,1,24745,,Or Up We Fall [LCL08],21,Album,http://freemusicarchive.org/music/Fanas/Or_Up_We_Fall/,Fanas
10009,,,0,9705,,My Song,4,Album,http://freemusicarchive.org/music/Audio_K/My_Song/,Audio K
10010,7/01/2011,,4,11511,,Big Blood & The Wicked Hex,18,Album,http://freemusicarchive.org/music/Big_Blood/Big_Blood__The_Wicked_Hex/,Big Blood
10016,8/31/2011,,0,2985,,"Live at WFMU on Irwin's show, Aug 31st 2011",8,Radio Program,http://freemusicarchive.org/music/Mary_Lorson/Live_at_WFMU_on_Irwins_show_Aug_31st_2011/,Mary Lorson
10017,9/30/2011,Jordan Lovelace,0,1493,,"Julia Armant 7""",0,Album,http://freemusicarchive.org/music/Family_Curse/Julia_Armant_7/,Family Curse
10018,7/04/2011,,4,4795,,Narrow Road to the Interior,7,Album,http://freemusicarchive.org/music/Angels_in_America/Narrow_Road_To_The_Interior/,Angels in America
10019,9/05/2011,,0,2820,,Bad Panda #98,2,Album,http://freemusicarchive.org/music/The_Parish_of_Little_Clifton/Bad_Panda_98/,The Parish of Little Clifton
10020,1/01/2007,,0,17901,,Background Music For Silence,2,Album,http://freemusicarchive.org/music/Uton/Background_Music_For_Silence/,Uton
10024,7/12/2011,TRAVIS HARRISON,0,2063,TRAVIS HARRISON,The Honor Bar,12,Album,http://freemusicarchive.org/music/The_Unsacred_Hearts/The_Honor_Bar/,The Unsacred Hearts
10025,,,3,6319,,Live at WFMU on Scott Williams' show Sept 5th 2011,7,Radio Program,http://freemusicarchive.org/music/Angels_in_America/Live_at_WFMU_on_Scott_Williams_show_Sept_5th_2011/,Angels in America
10027,,,0,4402,Richard Alexander Caraballo,minusbaby - Singles,4,Single Tracks,http://freemusicarchive.org/music/minusbaby/minusbaby_-_Singles_1233/,minusbaby
10028,1/01/2005,,0,187,,"Suoniin, Luihin, Ytimiin",1,Album,http://freemusicarchive.org/music/Uton/Suoniin_Luihin_Ytimiin/,Uton
1003,11/04/2008,Richard Rusincovich,1,6821,Brian Turner,"Live on WFMU's Brian Turner Show, Election Day 2008",0,Radio Program,http://freemusicarchive.org/music/Killdozer/Live_at_WFMU_on_Brian_Turners_Show_on_1142008/,Killdozer
10031,,,0,1398,,motubachii,2,Album,http://freemusicarchive.org/music/Annette_KrebsTaku_Unami/motubachii/,Annette Krebs/Taku Unami
10032,,,0,2699,,Au préau,2,Album,http://freemusicarchive.org/music/Rock_Monsieur/Au_prau/,Rock Monsieur
10033,,,0,3980,,"2010-02-19 Live @ The Garrison, Toronto, Canada",3,Live Performance,http://freemusicarchive.org/music/Nadja/2010-02-19_Live__The_Garrison_Toronto_Canada/,Nadja
10034,9/13/2011,,0,8366,Tony Higgins,junior85 live,8,Album,http://freemusicarchive.org/music/junior85/junior85_live/,junior85
10036,,,0,2007,,mystical v,5,,http://freemusicarchive.org/music/2010061284945421/mystical_v/,uiutna
10037,7/08/2009,,0,7809,,Live at the OCCII,6,Live Performance,http://freemusicarchive.org/music/Zydepunks/Live_at_the_OCCII_1656/,Zydepunks
10038,,,0,1742,,Live at Pacific Parc 17/01/2009,9,Live Performance,http://freemusicarchive.org/music/Bonaparte/Live_at_Pacific_Parc_17012009_Amsterdam/,Bonaparte
10039,9/15/2011,,3,5379,,Hesperos,6,Album,http://freemusicarchive.org/music/Adriano_Orru/Hesperos/,Adriano Orru
1004,11/06/2008,Joe Belock,0,2533,Diane Kamikaze,Live at WFMU on Diane's Show on 11/6/2008,7,Live Performance,http://freemusicarchive.org/music/Triclops/Live_at_WFMU_on_Dianes_Show_on_1162008/,Triclops!
10041,9/07/2011,Diane Farris,0,8092,"Evan ""Funk"" Davies","Live at WFMU on Evan ""Funk"" Davies Show on September 7, 2011",11,Radio Program,http://freemusicarchive.org/music/The_Cute_Lepers/Live_at_WFMU_on_Evan_Funk_Davies_Show_on_September_7_2011/,The Cute Lepers
10042,8/28/2011,Ernie Indradat,0,1393,Keili ,"Live at WFMU on Beastin' The Airwaves! with Keili on August 28, 2011",4,Radio Program,http://freemusicarchive.org/music/Hooves/Live_at_WFMU_on_Beastin_The_Airwaves_with_Keili_on_August_28_2011/,Hooves
10044,9/08/2011,Dian Farris,0,5616,Joe Belock,"Live at WFMU on Three Chord Monte with Joe Belock on September 8, 2011",8,Radio Program,http://freemusicarchive.org/music/Sally_Crewe__the_Sudden_Moves/Live_at_WFMU_on_Three_Cord_Monty_with_Joe_Belock_on_September_8_2011/,Sally Crewe And the Sudden Moves
