artist_id,artist_active_year_begin,artist_associated_labels,artist_contact,artist_favorites,artist_handle,artist_members,artist_name,artist_website
1,2006.0,,Brown Bum aka Choke,9,AWOL,"Sajje Morocco,Brownbum,ZawidaGod,Custodian of Records,Zooberelli the Don,F.A.H,MadSicka,Damien Omenicci..and a van load more...",AWOL,http://www.AzillionRecords.blogspot.com
10,,"Mistletone, Marriage Records",Lukey Dargons,111,Lucky_Dragons,"Luke Fischbeck
Sarah Rara",Lucky Dragons,http://hawksandsparrows.org/
100,2004.0,"Captcha Records (HBSP-2X), Pickled Egg (Europe)",Chris Kalis,8,Chandeliers,"Chris Kalis, Harry Brenner, Scott McGaughey, Brett Sova, Cameron Brand",Chandeliers,thechandeliers.com
1000,,,,0,Marzipan_Marzipan,,Marzipan Marzipan,https://soundcloud.com/marzipanmarzipan
10000,,,,1,Jack_Hertz_PHOBoS_Blue_Hell,"Jack Hertz
PHOBoS
Blue Hell","Jack Hertz, PHOBoS, Blue Hell",http://surrism.phonoethics.com/surrism-phonoethics_jack_hertz_phobos_blue_hell_-_gritty_transmutation_spe_0089.html
10001,,,,13,Nick_Rivera,"Raffaele Pilia - Electric Guitar
Andrea Cherchi - Acoustic Guitar
Luca Muntoni - Drums
Corrado Loi - Bass and Effect
Max Coni - Trombone",Nick Rivera,http://www.nickrivera.net/
10002,,,,2,Carlos_Ramirez,,Carlos Ramirez,http://www.reverbnation.com/coatzin
10003,,"Digitalis, Deep Water Acres",,2,Evening_Fires,"Jen Breimhurst, Jason Britten, Gabriel Gould, Julie Greer, Kevin Moist, Nathaniel Rasmussen, Dave Sandy, Andrew Simpson, Bob Sweeny, Ben Wentz",Evening Fires,http://www.myspace.com/eveningfires
10004,,,,2,Tabla_y_Cuchillo,"Ricardo Tejero
Julian Bonequi",Tabla y Cuchillo,http://surrism.phonoethics.com/surrism-phonoethics_tabla_y_cuchillo_spe_0091.html
10005,,,,8,Blank_Realm,,Blank Realm,http://www.myspace.com/blankrealm/
10010,,,,0,Jason_Kaneshiro,,Jason Kaneshiro,http://www.webomatica.com/music/
10011,,,,2,Koobaatoo_Asparagus,,Koobaatoo Asparagus,http://www.myspace.com/koobaatooasparagus
10012,2010.0,"Altered State Reflections,
Vaatican Records, Sirona Records
Misspelled Records and
Itsu-Jitsu
",Jared C. Balogh,107,Balogh,Jared C. Balogh,Jared C. Balogh,http://www.alteredstateofmine.net
10013,,,,4,Silent_Strangers,Christopher Lombardo,Silent Strangers,http://silentstrangers.bandcamp.com
10014,2002.0,Phononmena,chuck bettis,0,Chuck_Bettis__Toshio_Kajiwara,"Chuck Bettis - electronics
Toshio Kajiwara - turntable + electronics",Chuck Bettis & Toshio Kajiwara,www.chuckbettis.com
10015,,,,11,Andy__Zeus,A.R. Plovnick & Zachary Wilson,Andy & Zeus,http://andyandzeus.bandcamp.com/
10016,,,,18,Ami_Dang,,Ami Dang,http://www.amidang.com/
10017,,,,3,Mind_Over_Midi,Helge Tømmervåg,Mind Over Midi,http://www.mindovermidi.no
10018,,,,10,stockfinster,,stockfinster.,http://stockfinster.nu/
10019,,White Moon Recordings,,42,voyageurs,,voyageurs,http://voyageurs.bandcamp.com
10020,,,,8,Delicate_Steve,Steve Marion,Delicate Steve,http://delicatesteve.com/
10022,,,,8,Julian_Lynch,,Julian Lynch,http://julianlynch.bandcamp.com/
10023,,,,21,Waylon_Thornton_and_the_Heavy_Hands,"Waylon - Guitar, vocals

Meg - Drums",Waylon Thornton and the Heavy Hands,http://theheavyhands.bandcamp.com
10024,2010.0,Classwar Karaoke,Rev. Crawl Max,4,Crawl_Max,Crawl Max,Crawl Max,http://www.archive.org/details/Crawl_Max_0001
10026,,,,0,Redtheplaneeet_1580,,Redtheplaneeet,
10027,,,,91,Waylon_Thornton,,Waylon Thornton,http://waylonthornton.tumblr.com
10028,,,,3,Ba_Babes,,Ba Babes,http://bababes.tumblr.com
10030,,,,7,Catholic_Spray,,Catholic Spray,http://myspace.com/catholicspray
10031,,,,28,Holy_Coast,Blake Tabb,Holy Coast,http://myspace.com/geminicricketband
10034,2005.0,"Feeding Tube Records, Yod Tapes, No Basement Is Deep Enough, Ozonokids, Blueberry Honey, Scotch Tapes, Teen Action Records, Egyptian Tea, Warded Halls, Seminal Issues, Serf Released",Feel free to make contact via Feeding Tube Records,7,Cave_Bears,"C. Bren, Les Des Gustor",Cave Bears,http://www.cavebears.suchfun.net
10035,,,Reve Steich,4,Reve_Steich,Reve Steich,Reve Steich,http://www.archive.org/details/Reve_Steich_0001
10036,1994.0,"Slowdime, Black Gemini",Chuck Bettis,11,The_Meta-matics,"Aaron Brenner - guitar, clarinet (trk. 5), back up vocals (trk. 3)
Malcolm McDuffie - drums, trumpet (trk. 5), back up vocals (trk. 3), blue horn (trk. 6)
Frank Vogl - bass, back up vocals (trk. 3)
Chuck Bettis - vocals, sk-1 (trk. 2), blue horn (trk. 1)

live guest:
Gabe Andruzzi - sax (trk. 17)",The Meta-matics,http://www.chuckbettis.com
10040,1994.0,Mass Particles,Chuck Bettis,0,Chuck_Bettis__Evan_Rapport,"Chuck Bettis - electronics + throat
Evan Rapport - sax",Chuck Bettis & Evan Rapport,http://www.chuckbettis.com
10042,,,,0,Splatinum,Andrew Luck and Adam Houghton,Splatinum,http://splatinum.com/
10043,,,,1,Joe_Boyd_and_Robyn_Hitchcock,,Joe Boyd and Robyn Hitchcock,http://www.joeboyd.co.uk/
10044,,,,1,Horse_Feathers,"JUSTIN RINGLE - vocals, guitar

NATHAN CROCKETT - violin; saw; vocals,

CATHERINE ODELL - cello; vocals,

SAM COOPER - banjo; mandolin; percussion; violin; harmonium; vocals ",Horse Feathers,http://horsefeatherstheband.com/
10045,,,,0,Yuni_In_Taxco,"Sean Beszhak, Ross Beamish, Bryce Beamish, Jim Saunders, Isaiah Washington",Yuni In Taxco,http://yuni.bandcamp.com/
10046,,,,0,Bryan_John_Appleby,Bryan John Appleby,Bryan John Appleby,http://bryanjohnappleby.bandcamp.com/
10047,,,,9,Dirty_Projectors,"david longstreth — musical direction,
amber coffman — singing; guitar,
angel deradoorian — singing; keyboard; samples; bass,
brian mcomber — drums,
nat baldwin — bass,
haley dekle — singing",Dirty Projectors,http://www.dirtyprojectors.net/
10048,,,,2,Dale_Earnhardt_Jr_Jr,Joshua Epstein & Daniel Zott,Dale Earnhardt Jr. Jr.,http://www.daleearnhardtjrjr.com/home/
10049,,,,0,LaRue,LaRue,LaRue,http://www.myspace.com/laruemusik
10050,,,,2,Say_Hi,Eric Elbogen,Say Hi,http://www.sayhitoyourmom.com/
10051,,,,14,The_Black_Angels,"Stephanie Bailey - drums & percussion
Christian Bland - guitar, drone machine/organ
Kyle Hunt - keyboards, percussion, bass, guitar
Alex Maas - vocals
Nate Ryan - bass, guitar",The Black Angels,
10053,,,,0,Frikstailers,,Frikstailers,
10054,,,,1,The_Love_Language,"Stuart McLamb - Vocals/Guitar
BJ Burton - Guitar
Missy Thangs - Keys
Justin Rodermond - Bass
Jordan McLamb - Drums",The Love Language,http://thelovelanguage.com
10055,,,,2,Truckasauras,"Adam Swan, Tyler Swan, Ryan Trudell, Dan Bordon",Truckasauras,http://truckasauras.com/
10056,,,,6,The_Walkmen,"Paul Maroon (guitar, piano)
Walter Martin (organ/bass)
Matt Barrick (drums)
Peter Bauer (bass/organ)
Hamilton Leithauser (vocals, guitar)",The Walkmen,http://thewalkmenmusic.blogspot.com/
10057,,,,0,Blue_Giant,"Kevin Robinson
Anita Robinson
Evan Railton
Jesse Bates
W.C. Beck",Blue Giant,http://www.bluegiantland.com/
10058,,,,4,Ra_Ra_Riot,"Wes Miles (vocals, keys)
Milo Bonacci (guitar)
Matthieu Santos (bass)
Alexandra Lawn (cello, vocals, keys)
Rebecca Zeller (violin)
Gabriel Duquette (drums).",Ra Ra Riot,http://www.rarariot.com/
10059,,,,0,Narrows,"Jodie Cox: Guitars
Ryan Frederiksen: Guitars
Sam Stothers: Drums
Dave Verellen: Voice
Rob Moran: Bass ",Narrows,http://www.facebook.com/narrows
10060,,,Ярослав Сартаков,28,Huun_Huur_Tu,"Kaigal-ool Khovalyg
Sayan Bapa
Radik Tülüsh
Alexei Saryglar

Past members:
Albert Kuvezin
Alexander Bapa
Andrey Mongush
Anatoli Kuular",Huun Huur Tu,http://www.huunhuurtu.ru/
10066,,Bad Panda Records,,1,Medos_Little_Trap,"Domenico Mannelli (voice,guitar) Danilo Mannelli (doublebass)
Matteo de Rossi (guitar) Luigi Martino,Elvin Dhimitri,Luca Dorelli (violin)
Francesca Ciampa, Ornella Amodio, Nora Capozio (voice)
Anna Rollando (viola) Silvia Di Giulio (cello)
Vezio Maria Randelli (drum)
",Medo's Little Trap,http://www.facebook.com/pages/MeDos-Little-Trap/156495587727526?v=info
10067,,,,0,Crush,,Crush,
10068,,,,4,VYA,"Zeynep Türkmen: Violin, Percussion
Barış Demirel: Trumpet, Vocals, Melodica
Özgür Çakır: Guitars & Effects
Aydın Türkoğlu: Bass Guitar , Drums
Ege Türkmenler: Drums",VİYA,http://www.viyaband.com
10069,,,,1,Teddy_Paoca_Preto_Loco_e_Renato_Fabbri,,Teddy Paçoca Preto Loco e Renato Fabbri,http://culturadigital.br/movimento/2011/01/30/o-minc-quem-te-viu/
10071,,,,1,East_of_Borneo,"Michael DeQuattro
John Robert Ferguson
Lyn Goeringer
Jim Moses",East of Borneo,
10072,2000.0,,,6,Frump_Strumpet_Strife,"Eleanor Balson
Jamie Fillmore
Gregory Jacobsen
Thymme Jones",Frump! Strumpet! Strife!,
10074,,,,1,Gyanism,"Joel Stern,
Yusuke Akai,
Daiji Igasashi,
Scott Sinclair",Gyanism,
10075,,,,0,Boy__The_Echo_Choir,,Boy & The Echo Choir,
10076,,,,6,Shigeto,,Shigeto,
10077,,,,3,Dubalizer,,Dubalizer,
10078,,,,1,smallRADIO,,Small Radio,
10079,,,,2,Giggs,,Giggs,
10080,,,,1,Mathias_Schaffhaeuser,,Mathias Schaffhaeuser,
10082,,,,11,NEW_YORK_feat_LOGRE,,NEW YORK,www.wildrfid.net
10083,,,,1,Arklight,,Arklight,
10085,,,Singh - deepsingh@deepsoundz.com ,2,Deep_Singh_and_Ikhlaq_Hussain_Khan,"Deep Singh - Tabla
Ikhlaq Hussain Khan - Sitar",Deep Singh and Ikhlaq Hussain Khan,http://www.ragasitar.com/
10086,1992.0,,,2,Aterciopelados,"Andrea Echeverri -- vocalist/guitarist, Héctor Buitrago -- bassist/arranger",Aterciopelados,http://www.aterciopelados.com/
10089,,,,1,Active_Child,Pat Grossi,Active Child,http://activechildmusic.com/
